品目,数量,単位,高値,安値,主な産地,日付,元ファイル
きわだ,1661,1kg,2645.4827586206898,1200,,平成31年1月16日（水）,suiexcel7 (48).xls
あじ,1220,1kg,756,300,,平成31年1月16日（水）,suiexcel7 (48).xls
さば,5309,1kg,378,270,,平成31年1月16日（水）,suiexcel7 (48).xls
まいわし,1513,1kg,216,108,,平成31年1月16日（水）,suiexcel7 (48).xls
養成ぶり,1438,1kg,1269.2987012987014,860,,平成31年1月16日（水）,suiexcel7 (48).xls
養成まだい,4343,1kg,2108.0366972477063,972,,平成31年1月16日（水）,suiexcel7 (48).xls
さごし,930,1kg,682.9372384937238,300,,平成31年1月16日（水）,suiexcel7 (48).xls
養成はまち,366,1kg,1554.5142857142855,700,,平成31年1月16日（水）,suiexcel7 (48).xls
養成かんぱち,1248,1kg,1787.8711340206187,950,,平成31年1月16日（水）,suiexcel7 (48).xls
するめいか,680,1kg,918,810,,平成31年1月16日（水）,suiexcel7 (48).xls
さけ,1686,1kg,2008.7365384615387,1188,,平成31年1月16日（水）,suiexcel7 (48).xls
養成ふぐ,198,1kg,2484,1787.77333333333,,平成31年1月16日（水）,suiexcel7 (48).xls
たこ,286,1kg,11300,1296,,平成31年1月16日（水）,suiexcel7 (48).xls
かに,152,1kg,4906.285714285715,2528,,平成31年1月16日（水）,suiexcel7 (48).xls
はまぐり,420,1kg,1836,648,,平成31年1月16日（水）,suiexcel7 (48).xls
あさり,1524,1kg,1019.483709273183,432,,平成31年1月16日（水）,suiexcel7 (48).xls
かき,3442,1kg,2700,864,,平成31年1月16日（水）,suiexcel7 (48).xls
冷凍もんごいか,400,1kg,2808,864,,平成31年1月16日（水）,suiexcel7 (48).xls
冷凍たこ,400,1kg,2700,1296,,平成31年1月16日（水）,suiexcel7 (48).xls
冷凍えび,1578,1kg,2700,972,,平成31年1月16日（水）,suiexcel7 (48).xls
塩さば,2446,1kg,688.749075215783,432,,平成31年1月16日（水）,suiexcel7 (48).xls
塩さけ,1392,1kg,1110.8193597561,1110.8193597560976,,平成31年1月16日（水）,suiexcel7 (48).xls
塩すけそうこ,425,1kg,3836.968888888889,1296,,平成31年1月16日（水）,suiexcel7 (48).xls
塩いわし,20,1kg,518.4,518.4,,平成31年1月16日（水）,suiexcel7 (48).xls
開干あじ,338,1kg,1080,70,,平成31年1月16日（水）,suiexcel7 (48).xls
若干かれい,100,1kg,1836,648,,平成31年1月16日（水）,suiexcel7 (48).xls
ちりめん,1119,1kg,2376,1620,,平成31年1月16日（水）,suiexcel7 (48).xls
かますごかまあげ,200,1kg,1080,648,,平成31年1月16日（水）,suiexcel7 (48).xls
くろまぐろ,158,1kg,3250.8727272727274,2750,,平成31年1月17日（木）,suiexcel-1.xls
きわだ,2490,1kg,2714.8289885297186,500,,平成31年1月17日（木）,suiexcel-1.xls
あじ,1216,1kg,702,170,,平成31年1月17日（木）,suiexcel-1.xls
さば,2219,1kg,913.7931034482758,270,,平成31年1月17日（木）,suiexcel-1.xls
まいわし,450,1kg,216,108,,平成31年1月17日（木）,suiexcel-1.xls
養成ぶり,1601,1kg,1325.2729357798166,850,,平成31年1月17日（木）,suiexcel-1.xls
養成まだい,4462,1kg,2190.9228855721394,972,,平成31年1月17日（木）,suiexcel-1.xls
さごし,268,1kg,648,252,,平成31年1月17日（木）,suiexcel-1.xls
養成はまち,431,1kg,1279.7297297297296,1026,,平成31年1月17日（木）,suiexcel-1.xls
養成かんぱち,1368,1kg,1872.8830022075053,900,,平成31年1月17日（木）,suiexcel-1.xls
するめいか,355,1kg,962,756,,平成31年1月17日（木）,suiexcel-1.xls
さけ,2761,1kg,2182.8061721710883,1124,,平成31年1月17日（木）,suiexcel-1.xls
養成ふぐ,498,1kg,3691.72972972973,1836,,平成31年1月17日（木）,suiexcel-1.xls
たこ,341,1kg,12300,972,,平成31年1月17日（木）,suiexcel-1.xls
かに,172,1kg,6027.8133333333335,2484,,平成31年1月17日（木）,suiexcel-1.xls
はまぐり,344,1kg,1620,540,,平成31年1月17日（木）,suiexcel-1.xls
あさり,2216,1kg,1009.9811676082863,100,,平成31年1月17日（木）,suiexcel-1.xls
