品目,数量,単位,高値,中値,安値,主な産地,日付,元ファイル
開干あじ,297,1Kg,1944,0,1080,長崎  他,令和6年4月5日（金）,suiexcel-3 (85).xls
若干かれい,200,1Kg,1944,0,972,島根  他,令和6年4月5日（金）,suiexcel-3 (85).xls
ちりめん,692,1Kg,3024,0,1944,宮崎  徳島  大分  他,令和6年4月5日（金）,suiexcel-3 (85).xls
なまりぶし,36,1kg,2000,0,900,静岡  他,令和6年4月5日（金）,suiexcel-3 (85).xls
ほたるいか,599,1Kg,1620,0,972,富山  兵庫  他,令和6年4月5日（金）,suiexcel-3 (85).xls
くろまぐろ,565,1Kg,3996,3564,3024,和歌山  長崎  他,令和6年4月16日（火）,suiexcel-4 (83).xls
きわだ,1047,1Kg,1620,1404,1350,宮崎  沖縄  他,令和6年4月16日（火）,suiexcel-4 (83).xls
あじ,1832,1kg,1200,0,300,和歌山  他,令和6年4月16日（火）,suiexcel-4 (83).xls
さば,1526,1kg,600,0,300,千葉  福岡  他,令和6年4月16日（火）,suiexcel-4 (83).xls
まいわし,2079,1Kg,324,0,216,神奈川  石川  他,令和6年4月16日（火）,suiexcel-4 (83).xls
養成ぶり,442,1kg,1900,0,900,愛媛  長崎  他,令和6年4月16日（火）,suiexcel-4 (83).xls
かつお,2361,1Kg,648,0,432,高知  宮崎  他,令和6年4月16日（火）,suiexcel-4 (83).xls
養成まだい,3366,1Kg,1350,0,540,愛媛  他,令和6年4月16日（火）,suiexcel-4 (83).xls
さわら,434,1Kg,1296,0,1080,和歌山  他,令和6年4月16日（火）,suiexcel-4 (83).xls
かれい,1971,1kg,3500,0,150,青森  他,令和6年4月16日（火）,suiexcel-4 (83).xls
養成はまち,379,1Kg,1404,0,648,愛媛  徳島  他,令和6年4月16日（火）,suiexcel-4 (83).xls
養成かんぱち,873,1Kg,2106,0,1080,鹿児島  他,令和6年4月16日（火）,suiexcel-4 (83).xls
さけ,1925,1Kg,2268,0,2052,ﾉﾙｳｪｰ  他,令和6年4月16日（火）,suiexcel-4 (83).xls
たこ,325,1kg,5000,0,1200,岩手  兵庫  他,令和6年4月16日（火）,suiexcel-4 (83).xls
はまぐり,301,1Kg,3240,0,756,千葉  他,令和6年4月16日（火）,suiexcel-4 (83).xls
しじみ,1510,1Kg,1296,0,216,島根  他,令和6年4月16日（火）,suiexcel-4 (83).xls
あさり,957,1Kg,1944,0,324,中国  他,令和6年4月16日（火）,suiexcel-4 (83).xls
ほたて貝,873,1Kg,972,0,540,北海道  他,令和6年4月16日（火）,suiexcel-4 (83).xls
冷凍もんごいか,110,1Kg,4320,3564,1296,ﾓﾛｯｺ  他,令和6年4月16日（火）,suiexcel-4 (83).xls
冷凍たこ,0,0,0,0,0,,令和6年4月16日（火）,suiexcel-4 (83).xls
冷凍えび,2431,1kg,2890,0,860,ｲﾝﾄﾞ  他,令和6年4月16日（火）,suiexcel-4 (83).xls
塩さば,2490,1Kg,756,648,540,ﾉﾙｳｪｰ  他,令和6年4月16日（火）,suiexcel-4 (83).xls
塩さけ,3417,1kg,2100,0,800,ﾁﾘ  他,令和6年4月16日（火）,suiexcel-4 (83).xls
塩すけそうこ,111,1kg,2940,0,950,大阪  他,令和6年4月16日（火）,suiexcel-4 (83).xls
開干さんま,316,1Kg,2180,0,1296,北海道  他,令和6年4月16日（火）,suiexcel-4 (83).xls
開干あじ,413,1Kg,1944,0,1080,長崎  他,令和6年4月16日（火）,suiexcel-4 (83).xls
若干かれい,300,1Kg,2376,0,972,兵庫  他,令和6年4月16日（火）,suiexcel-4 (83).xls
ちりめん,1112,1Kg,3024,0,1080,宮崎  兵庫  大分  他,令和6年4月16日（火）,suiexcel-4 (83).xls
なまりぶし,62,1kg,1950,0,900,静岡  他,令和6年4月16日（火）,suiexcel-4 (83).xls
ほたるいか,813,1Kg,1620,0,972,富山  兵庫  他,令和6年4月16日（火）,suiexcel-4 (83).xls
くろまぐろ,749,1Kg,3996,3564,2700,長崎  他,令和6年4月22日（月）,suiexcel-5 (72).xls
きわだ,1006,1Kg,1944,1296,432,ｲﾝﾄﾞﾈｼｱ  沖縄  他,令和6年4月22日（月）,suiexcel-5 (72).xls
あじ,1566,1Kg,432,0,324,大分  和歌山  他,令和6年4月22日（月）,suiexcel-5 (72).xls
さば,1415,1Kg,378,0,270,長崎  千葉  他,令和6年4月22日（月）,suiexcel-5 (72).xls
まいわし,1607,1Kg,324,0,216,三重  石川  他,令和6年4月22日（月）,suiexcel-5 (72).xls
養成ぶり,496,1kg,1900,0,900,愛媛  長崎  他,令和6年4月22日（月）,suiexcel-5 (72).xls
かつお,3834,1Kg,432,0,216,高知  宮崎  他,令和6年4月22日（月）,suiexcel-5 (72).xls
養成まだい,4728,1kg,1300,0,860,愛媛  他,令和6年4月22日（月）,suiexcel-5 (72).xls
さわら,323,1Kg,1620,0,1404,愛媛  韓国  他,令和6年4月22日（月）,suiexcel-5 (72).xls
かれい,798,1Kg,540,0,324,青森  他,令和6年4月22日（月）,suiexcel-5 (72).xls
養成はまち,582,1kg,1550,0,950,徳島  愛媛  他,令和6年4月22日（月）,suiexcel-5 (72).xls
養成かんぱち,1250,1kg,1900,0,1600,鹿児島  他,令和6年4月22日（月）,suiexcel-5 (72).xls
さけ,1997,1Kg,2160,0,1944,ﾁﾘ  ﾉﾙｳｪｰ  他,令和6年4月22日（月）,suiexcel-5 (72).xls
たこ,178,1kg,3900,0,2000,岩手  兵庫  他,令和6年4月22日（月）,suiexcel-5 (72).xls
はまぐり,365,1Kg,2808,0,756,千葉  中国  他,令和6年4月22日（月）,suiexcel-5 (72).xls
しじみ,1100,1Kg,1296,0,486,島根  他,令和6年4月22日（月）,suiexcel-5 (72).xls
あさり,956,1Kg,1620,0,324,中国  他,令和6年4月22日（月）,suiexcel-5 (72).xls
ほたて貝,662,1Kg,972,0,540,北海道  他,令和6年4月22日（月）,suiexcel-5 (72).xls
冷凍もんごいか,120,1Kg,4320,3564,1296,ﾓﾛｯｺ  ｵﾏｰﾝ  他,令和6年4月22日（月）,suiexcel-5 (72).xls
冷凍たこ,0,0,0,0,0,,令和6年4月22日（月）,suiexcel-5 (72).xls
冷凍えび,1480,1Kg,4320,2160,1188,ｲﾝﾄﾞ  他,令和6年4月22日（月）,suiexcel-5 (72).xls
塩さば,2016,1Kg,756,648,540,ﾉﾙｳｪｰ  他,令和6年4月22日（月）,suiexcel-5 (72).xls
塩さけ,1292,1kg,2450,0,400,ﾁﾘ  他,令和6年4月22日（月）,suiexcel-5 (72).xls
塩すけそうこ,80,1kg,2780,0,1300,大阪  他,令和6年4月22日（月）,suiexcel-5 (72).xls
開干さんま,200,1Kg,2180,0,1296,北海道  他,令和6年4月22日（月）,suiexcel-5 (72).xls
開干あじ,446,1Kg,1944,0,1080,長崎  他,令和6年4月22日（月）,suiexcel-5 (72).xls
若干かれい,300,1Kg,2160,0,972,島根  他,令和6年4月22日（月）,suiexcel-5 (72).xls
ちりめん,50,1Kg,1620,0,864,兵庫  愛知  他,令和6年4月22日（月）,suiexcel-5 (72).xls
なまりぶし,19,1kg,2000,0,1880,静岡  他,令和6年4月22日（月）,suiexcel-5 (72).xls
ほたるいか,173,1kg,4300,0,600,富山  兵庫  他,令和6年4月22日（月）,suiexcel-5 (72).xls
くろまぐろ,728,1Kg,3996,3888,3780,和歌山  長崎  他,令和6年4月23日（火）,suiexcel-6 (66).xls
きわだ,862,1Kg,1458,1296,864,宮城  沖縄  他,令和6年4月23日（火）,suiexcel-6 (66).xls
あじ,2884,1Kg,486,0,378,和歌山  他,令和6年4月23日（火）,suiexcel-6 (66).xls
さば,1485,1Kg,432,0,324,長崎  千葉  他,令和6年4月23日（火）,suiexcel-6 (66).xls
まいわし,2049,1Kg,324,0,216,千葉  石川  他,令和6年4月23日（火）,suiexcel-6 (66).xls
養成ぶり,463,1kg,1900,0,850,愛媛  長崎  他,令和6年4月23日（火）,suiexcel-6 (66).xls
かつお,3686,1Kg,540,0,324,高知  宮崎  他,令和6年4月23日（火）,suiexcel-6 (66).xls
養成まだい,3193,1Kg,1350,0,540,愛媛  他,令和6年4月23日（火）,suiexcel-6 (66).xls
さわら,390,1Kg,1296,0,1080,香川  他,令和6年4月23日（火）,suiexcel-6 (66).xls
かれい,843,1kg,3000,0,250,青森  他,令和6年4月23日（火）,suiexcel-6 (66).xls
養成はまち,401,1Kg,1404,0,648,愛媛  徳島  他,令和6年4月23日（火）,suiexcel-6 (66).xls
養成かんぱち,877,1Kg,2106,0,1080,鹿児島  他,令和6年4月23日（火）,suiexcel-6 (66).xls
さけ,1679,1Kg,2268,0,2052,ﾁﾘ  ﾉﾙｳｪｰ  他,令和6年4月23日（火）,suiexcel-6 (66).xls
たこ,206,1kg,5000,0,2000,兵庫  岩手  他,令和6年4月23日（火）,suiexcel-6 (66).xls
はまぐり,250,1Kg,2592,0,756,千葉  他,令和6年4月23日（火）,suiexcel-6 (66).xls
しじみ,1095,1Kg,1296,0,486,島根  他,令和6年4月23日（火）,suiexcel-6 (66).xls
あさり,939,1Kg,1944,0,324,中国  他,令和6年4月23日（火）,suiexcel-6 (66).xls
ほたて貝,670,1Kg,972,0,540,北海道  他,令和6年4月23日（火）,suiexcel-6 (66).xls
冷凍もんごいか,120,1Kg,4320,3564,1296,ﾓﾛｯｺ  他,令和6年4月23日（火）,suiexcel-6 (66).xls
冷凍たこ,0,0,0,0,0,,令和6年4月23日（火）,suiexcel-6 (66).xls
冷凍えび,2053,1kg,3900,0,860,ｲﾝﾄﾞ  他,令和6年4月23日（火）,suiexcel-6 (66).xls
塩さば,954,1kg,920,0,530,ﾉﾙｳｪｰ  他,令和6年4月23日（火）,suiexcel-6 (66).xls
塩さけ,1378,1kg,1160,0,800,ﾁﾘ  他,令和6年4月23日（火）,suiexcel-6 (66).xls
塩すけそうこ,124,1kg,2730,0,850,大阪  他,令和6年4月23日（火）,suiexcel-6 (66).xls
開干さんま,231,1Kg,2180,0,1296,北海道  他,令和6年4月23日（火）,suiexcel-6 (66).xls
開干あじ,374,1Kg,1944,0,1080,長崎  他,令和6年4月23日（火）,suiexcel-6 (66).xls
若干かれい,200,1Kg,1944,0,972,島根  他,令和6年4月23日（火）,suiexcel-6 (66).xls
ちりめん,735,1Kg,2808,0,2592,兵庫  山口  大分  他,令和6年4月23日（火）,suiexcel-6 (66).xls
なまりぶし,32,1kg,2000,0,900,静岡  他,令和6年4月23日（火）,suiexcel-6 (66).xls
ほたるいか,811,1Kg,1620,0,972,富山  兵庫  他,令和6年4月23日（火）,suiexcel-6 (66).xls
くろまぐろ,947,1Kg,3996,3564,1944,三重  長崎  他,令和6年4月25日（木）,suiexcel-7 (65).xls
きわだ,861,1kg,3000,0,600,宮崎  沖縄  他,令和6年4月25日（木）,suiexcel-7 (65).xls
あじ,2269,1Kg,540,0,432,和歌山  他,令和6年4月25日（木）,suiexcel-7 (65).xls
さば,1128,1Kg,540,0,432,千葉  他,令和6年4月25日（木）,suiexcel-7 (65).xls
まいわし,1768,1Kg,324,0,216,富山  石川  他,令和6年4月25日（木）,suiexcel-7 (65).xls
養成ぶり,641,1kg,1900,0,850,愛媛  長崎  他,令和6年4月25日（木）,suiexcel-7 (65).xls
かつお,2864,1Kg,540,0,324,高知  宮崎  他,令和6年4月25日（木）,suiexcel-7 (65).xls
養成まだい,2389,1kg,1300,0,850,愛媛  他,令和6年4月25日（木）,suiexcel-7 (65).xls
さわら,493,1Kg,1404,0,1188,兵庫  韓国  他,令和6年4月25日（木）,suiexcel-7 (65).xls
かれい,1236,1Kg,648,0,432,青森  他,令和6年4月25日（木）,suiexcel-7 (65).xls
養成はまち,648,1kg,1300,0,900,徳島  他,令和6年4月25日（木）,suiexcel-7 (65).xls
養成かんぱち,1184,1kg,1980,0,1650,鹿児島  他,令和6年4月25日（木）,suiexcel-7 (65).xls
さけ,2018,1Kg,2160,0,1944,宮城  ﾉﾙｳｪｰ  他,令和6年4月25日（木）,suiexcel-7 (65).xls
たこ,204,1kg,3900,0,1800,兵庫  岩手  他,令和6年4月25日（木）,suiexcel-7 (65).xls
はまぐり,295,1Kg,2592,0,756,千葉  他,令和6年4月25日（木）,suiexcel-7 (65).xls
しじみ,925,1Kg,1296,0,432,島根  他,令和6年4月25日（木）,suiexcel-7 (65).xls
あさり,908,1Kg,1620,0,324,中国  他,令和6年4月25日（木）,suiexcel-7 (65).xls
ほたて貝,395,1Kg,972,0,540,北海道  他,令和6年4月25日（木）,suiexcel-7 (65).xls
冷凍もんごいか,208,1Kg,4320,3564,1296,ﾓﾛｯｺ  ｵﾏｰﾝ  他,令和6年4月25日（木）,suiexcel-7 (65).xls
冷凍たこ,0,0,0,0,0,,令和6年4月25日（木）,suiexcel-7 (65).xls
冷凍えび,1489,1Kg,4320,2160,1188,ｲﾝﾄﾞ  他,令和6年4月25日（木）,suiexcel-7 (65).xls
塩さば,948,1kg,1430,0,500,ﾉﾙｳｪｰ  他,令和6年4月25日（木）,suiexcel-7 (65).xls
塩さけ,2593,1kg,1550,0,450,ﾁﾘ  他,令和6年4月25日（木）,suiexcel-7 (65).xls
塩すけそうこ,287,1kg,4000,0,1050,大阪  他,令和6年4月25日（木）,suiexcel-7 (65).xls
開干さんま,208,1Kg,2180,0,1296,北海道  他,令和6年4月25日（木）,suiexcel-7 (65).xls
開干あじ,525,1Kg,1944,0,1080,長崎  他,令和6年4月25日（木）,suiexcel-7 (65).xls
若干かれい,300,1Kg,1944,0,972,兵庫  島根  他,令和6年4月25日（木）,suiexcel-7 (65).xls
ちりめん,1511,1kg,2600,0,1400,大分  宮崎  兵庫  愛知  他,令和6年4月25日（木）,suiexcel-7 (65).xls
なまりぶし,43,1kg,2000,0,900,静岡  他,令和6年4月25日（木）,suiexcel-7 (65).xls
ほたるいか,719,1Kg,1620,0,972,富山  兵庫  他,令和6年4月25日（木）,suiexcel-7 (65).xls
くろまぐろ,742,1kg,3780,3564,3240,長崎  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
きわだ,811,1kg,1944,1404,648,ｲﾝﾄﾞﾈｼｱ  沖縄  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
あじ,2099,1kg,1600,0,300,和歌山  長崎  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
さば,2048,1kg,560,0,300,千葉  長崎  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
まいわし,1224,1kg,324,0,216,三重  石川  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
養成ぶり,568,1kg,1900,0,700,愛媛  長崎  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
かつお,2535,1kg,540,0,324,宮崎  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
養成まだい,3756,1Kg,1350,0,540,愛媛  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
さわら,241,1kg,1404,0,1188,和歌山  韓国  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
かれい,1444,1kg,432,0,216,福井  青森  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
養成はまち,491,1kg,1404,0,648,愛媛  徳島  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
養成かんぱち,1055,1kg,2106,0,1080,鹿児島  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
さけ,2080,1kg,2052,0,1836,ﾉﾙｳｪｰ  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
たこ,270,1kg,4000,0,1400,岩手  兵庫  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
はまぐり,305,1kg,2808,0,756,千葉  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
しじみ,1275,1kg,1296,0,432,島根  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
あさり,819,1kg,1620,0,324,中国  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
ほたて貝,833,1kg,972,0,540,北海道  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
冷凍もんごいか,110,1kg,4320,3564,1296,ﾓﾛｯｺ  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
冷凍たこ,0,0,0,0,0,,令和6年4月19日（金）,suiexcel-8 (29).xlsx
冷凍えび,1982,1kg,3000,0,230,ｲﾝﾄﾞ  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
塩さば,1214,1kg,930,0,590,ﾉﾙｳｪｰ  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
塩さけ,2281,1kg,1600,0,850,ﾁﾘ  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
塩すけそうこ,283,1kg,2570,0,1050,大阪  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
開干さんま,200,1kg,2180,0,1296,北海道  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
開干あじ,387,1kg,1944,0,972,長崎  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
若干かれい,200,1kg,1944,0,972,島根  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
ちりめん,1006,1kg,1620,0,1080,兵庫  大分  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
なまりぶし,52,1kg,1880,0,900,静岡  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
ほたるいか,630,1kg,1620,0,972,富山  兵庫  他,令和6年4月19日（金）,suiexcel-8 (29).xlsx
くろまぐろ,1197,1kg,3996,3780,3456,長崎  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
きわだ,1167,1kg,1512,1188,486,宮崎  沖縄  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
あじ,2684,1kg,540,0,432,長崎  和歌山  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
さば,2253,1kg,432,0,324,千葉  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
まいわし,2153,1kg,324,0,216,富山  石川  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
養成ぶり,665,1kg,1900,0,900,愛媛  長崎  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
かつお,3241,1kg,540,0,324,高知  宮崎  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
養成まだい,5627,1Kg,1350,0,540,愛媛  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
さわら,450,1kg,1404,0,1188,和歌山  韓国  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
かれい,2037,1kg,3000,0,140,青森  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
養成はまち,526,1kg,1404,0,648,愛媛  徳島  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
養成かんぱち,1341,1kg,2106,0,1080,鹿児島  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
さけ,2874,1kg,1944,0,1728,宮城  ﾉﾙｳｪｰ  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
たこ,203,1kg,4000,0,1470,兵庫  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
はまぐり,345,1kg,3024,0,756,千葉  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
しじみ,1120,1kg,1296,0,216,島根  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
あさり,1119,1kg,1620,0,324,中国  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
ほたて貝,1245,1kg,972,0,540,北海道  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
冷凍もんごいか,145,1kg,4320,3564,1296,ﾓﾛｯｺ  ｵﾏｰﾝ  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
冷凍たこ,0,0,0,0,0,,令和6年4月20日（土）,suiexcel-9 (34).xlsx
冷凍えび,1589,1kg,4320,2160,1188,ｲﾝﾄﾞ  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
塩さば,5012,1kg,1110,0,530,ﾉﾙｳｪｰ  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
塩さけ,3298,1kg,1200,0,850,ﾁﾘ  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
塩すけそうこ,491,1kg,2940,0,950,大阪  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
開干さんま,232,1kg,2180,0,1296,北海道  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
開干あじ,504,1kg,1944,0,1080,長崎  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
若干かれい,200,1kg,1944,0,972,島根  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
ちりめん,1210,1kg,2808,0,648,熊本  大分  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
なまりぶし,0,0,0,0,0,,令和6年4月20日（土）,suiexcel-9 (34).xlsx
ほたるいか,813,1kg,1620,0,972,富山  兵庫  他,令和6年4月20日（土）,suiexcel-9 (34).xlsx
くろまぐろ,1027,1kg,3996,3564,2160,長崎  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
きわだ,1167,1kg,2160,1296,216,ｲﾝﾄﾞﾈｼｱ  沖縄  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
あじ,740,1kg,594,0,486,福岡  和歌山  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
さば,1295,1kg,1900,0,340,千葉  富山  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
まいわし,1400,1kg,270,0,162,千葉  石川  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
養成ぶり,709,1kg,1900,0,900,愛媛  長崎  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
かつお,2552,1kg,540,0,324,高知  宮崎  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
養成まだい,3341,1Kg,1350,0,540,愛媛  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
さわら,625,1kg,1404,0,1188,兵庫  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
かれい,473,1kg,5000,0,380,青森  鳥取  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
養成はまち,452,1kg,1404,0,648,愛媛  徳島  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
養成かんぱち,909,1kg,2106,0,1080,鹿児島  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
さけ,2783,1kg,2052,0,1836,宮城  ﾉﾙｳｪｰ  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
たこ,242,1kg,3900,0,1200,岩手  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
はまぐり,405,1kg,2808,0,756,千葉  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
しじみ,1055,1kg,1296,0,486,島根  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
あさり,879,1kg,1620,0,324,中国  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
ほたて貝,820,1kg,972,0,540,北海道  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
冷凍もんごいか,138,1kg,4320,3564,1296,ﾓﾛｯｺ  ｵﾏｰﾝ  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
冷凍たこ,0,0,0,0,0,,令和6年4月26日（金）,suiexcel-10 (34).xlsx
冷凍えび,1742,1kg,4320,2160,1188,ｲﾝﾄﾞ  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
塩さば,1348,1kg,930,0,610,ﾉﾙｳｪｰ  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
塩さけ,2866,1kg,2100,0,560,ﾁﾘ  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
塩すけそうこ,85,1kg,2300,0,1950,大阪  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
開干さんま,208,1kg,2180,0,1296,北海道  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
開干あじ,333,1kg,1944,0,1080,長崎  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
若干かれい,100,1kg,1944,0,972,島根  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
ちりめん,1565,1kg,2700,0,1080,愛知  大分  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
なまりぶし,10,1kg,1950,0,1880,静岡  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
ほたるいか,689,1kg,1620,0,972,富山  兵庫  他,令和6年4月26日（金）,suiexcel-10 (34).xlsx
くろまぐろ,1652,1kg,3996,3564,2700,和歌山  長崎  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
きわだ,1727,1kg,1566,1242,486,ｲﾝﾄﾞﾈｼｱ  沖縄  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
あじ,3509,1kg,540,0,432,和歌山  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
さば,2985,1kg,486,0,378,石川  千葉  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
まいわし,2089,1kg,324,0,216,千葉  石川  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
養成ぶり,737,1kg,1900,0,850,愛媛  長崎  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
かつお,6937,1kg,432,0,216,高知  宮崎  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
養成まだい,5337,1kg,1230,0,860,愛媛  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
さわら,1179,1kg,1296,0,1080,愛媛  韓国  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
かれい,1569,1kg,648,0,432,鳥取  青森  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
養成はまち,630,1kg,1404,0,540,徳島  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
養成かんぱち,1328,1kg,2106,0,1080,鹿児島  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
さけ,3083,1kg,2800,0,1090,ﾉﾙｳｪｰ  宮城  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
たこ,349,1kg,3900,0,870,兵庫  岩手  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
はまぐり,440,1kg,3024,0,756,千葉  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
しじみ,1370,1kg,1296,0,216,島根  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
あさり,1119,1kg,1620,0,324,中国  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
ほたて貝,1586,1kg,972,0,540,北海道  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
冷凍もんごいか,121,1kg,4320,3564,1296,ﾓﾛｯｺ  ｵﾏｰﾝ  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
冷凍たこ,0,0,0,0,0,,令和6年4月27日（土）,suiexcel-11 (33).xlsx
冷凍えび,2069,1kg,3930,0,890,ｲﾝﾄﾞ  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
塩さば,1322,1kg,570,570,570,ﾉﾙｳｪｰ  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
塩さけ,1519,1kg,2100,0,300,ﾁﾘ  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
塩すけそうこ,541,1kg,2850,0,1000,大阪  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
開干さんま,224,1kg,2180,0,1296,北海道  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
開干あじ,313,1kg,1944,0,1080,長崎  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
若干かれい,200,1kg,1944,0,972,島根  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
ちりめん,800,1kg,2700,0,864,山口  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
なまりぶし,53,1kg,1200,0,980,静岡  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
ほたるいか,676,1kg,1620,0,972,富山  兵庫  他,令和6年4月27日（土）,suiexcel-11 (33).xlsx
くろまぐろ,882,1kg,3996,3672,3456,三重  長崎  他,令和6年4月30日（火）,suiexcel-12 (29).xlsx
きわだ,1052,1kg,1350,1188,756,宮崎  沖縄  他,令和6年4月30日（火）,suiexcel-12 (29).xlsx
